year,class_id,class_name,count
2016,4,Agriculture,1213
2016,5,Natural (residual),86
2017,3,Urban,11
2017,4,Agriculture,1213
2017,5,Natural (residual),86
2018,3,Urban,11
2018,4,Agriculture,1213
2018,5,Natural (residual),86
2019,3,Urban,10
2019,4,Agriculture,1214
2019,5,Natural (residual),86
2020,3,Urban,10
2020,4,Agriculture,1214
2020,5,Natural (residual),86
