year,class_id,class_name,count
1969,3,Urban,495
1969,4,Agriculture,57984
1969,5,Forest,19268
1970,1,Water,988
1970,3,Urban,500
1970,4,Agriculture,57836
1970,5,Forest,19278
1971,1,Water,988
1971,3,Urban,515
1971,4,Agriculture,57711
1971,5,Forest,19276
1972,1,Water,988
1972,3,Urban,524
1972,4,Agriculture,57544
1972,5,Forest,19311
1973,1,Water,988
1973,3,Urban,538
1973,4,Agriculture,57426
1973,5,Forest,19344
1974,1,Water,988
1974,3,Urban,545
1974,4,Agriculture,57230
1974,5,Forest,19400
1975,1,Water,988
1975,3,Urban,557
1975,4,Agriculture,57136
1975,5,Forest,19425
1976,1,Water,988
1976,3,Urban,563
1976,4,Agriculture,56959
1976,5,Forest,19507
1977,1,Water,988
1977,3,Urban,575
1977,4,Agriculture,56844
1977,5,Forest,19547
1978,1,Water,988
1978,3,Urban,586
1978,4,Agriculture,56489
1978,5,Forest,19588
1979,1,Water,988
1979,3,Urban,602
1979,4,Agriculture,56192
1979,5,Forest,19598
1980,1,Water,988
1980,3,Urban,617
1980,4,Agriculture,55836
1980,5,Forest,19624
1981,1,Water,988
1981,3,Urban,636
1981,4,Agriculture,55538
1981,5,Forest,19678
1982,1,Water,988
1982,3,Urban,656
1982,4,Agriculture,55158
1982,5,Forest,19671
1983,1,Water,988
1983,3,Urban,673
1983,4,Agriculture,54858
1983,5,Forest,19674
1984,1,Water,988
1984,3,Urban,692
1984,4,Agriculture,54465
1984,5,Forest,19709
1985,1,Water,988
1985,3,Urban,712
1985,4,Agriculture,54126
1985,5,Forest,19693
1986,1,Water,988
1986,3,Urban,733
1986,4,Agriculture,53740
1986,5,Forest,19639
1987,1,Water,988
1987,3,Urban,755
1987,4,Agriculture,53369
1987,5,Forest,19607
1988,1,Water,988
1988,3,Urban,779
1988,4,Agriculture,52960
1988,5,Forest,19608
1989,1,Water,988
1989,3,Urban,803
1989,4,Agriculture,52619
1989,5,Forest,19561
1990,1,Water,988
1990,3,Urban,828
1990,4,Agriculture,52256
1990,5,Forest,19495
1991,1,Water,988
1991,3,Urban,856
1991,4,Agriculture,51712
1991,5,Forest,19417
1992,1,Water,988
1992,3,Urban,884
1992,4,Agriculture,51105
1992,5,Forest,19408
1993,1,Water,988
1993,3,Urban,916
1993,4,Agriculture,50196
1993,5,Forest,19367
1994,1,Water,988
1994,3,Urban,938
1994,4,Agriculture,46873
1994,5,Forest,19239
1995,1,Water,988
1995,3,Urban,970
1995,4,Agriculture,51237
1995,5,Forest,20479
1996,1,Water,988
1996,3,Urban,988
1996,4,Agriculture,51249
1996,5,Forest,20738
1997,1,Water,988
1997,3,Urban,1023
1997,4,Agriculture,51363
1997,5,Forest,20956
1998,1,Water,988
1998,3,Urban,1056
1998,4,Agriculture,51474
1998,5,Forest,21044
1999,1,Water,988
1999,3,Urban,1091
1999,4,Agriculture,52530
1999,5,Forest,21368
2000,1,Water,988
2000,3,Urban,1129
2000,4,Agriculture,51344
2000,5,Forest,21381
2001,1,Water,988
2001,3,Urban,1118
2001,4,Agriculture,40905
2001,5,Forest,21503
2002,1,Water,988
2002,3,Urban,1153
2002,4,Agriculture,40828
2002,5,Forest,21521
2003,1,Water,988
2003,3,Urban,1178
2003,4,Agriculture,36253
2003,5,Forest,21314
2004,1,Water,988
2004,3,Urban,1213
2004,4,Agriculture,37276
2004,5,Forest,21534
2005,1,Water,988
2005,3,Urban,1255
2005,4,Agriculture,40956
2005,5,Forest,21737
2006,1,Water,988
2006,3,Urban,1283
2006,4,Agriculture,40286
2006,5,Forest,21762
2007,1,Water,988
2007,3,Urban,1324
2007,4,Agriculture,39105
2007,5,Forest,21681
2008,1,Water,988
2008,3,Urban,1355
2008,4,Agriculture,38935
2008,5,Forest,21677
2009,1,Water,988
2009,3,Urban,1395
2009,4,Agriculture,39423
2009,5,Forest,21826
2010,1,Water,988
2010,3,Urban,1434
2010,4,Agriculture,40707
2010,5,Forest,21868
2011,1,Water,988
2011,3,Urban,1465
2011,4,Agriculture,41141
2011,5,Forest,21863
2012,1,Water,988
2012,3,Urban,1503
2012,4,Agriculture,41646
2012,5,Forest,21873
2013,1,Water,988
2013,3,Urban,1538
2013,4,Agriculture,42345
2013,5,Forest,21967
2014,1,Water,988
2014,3,Urban,1575
2014,4,Agriculture,43190
2014,5,Forest,22397
2015,1,Water,988
2015,3,Urban,1633
2015,4,Agriculture,43908
2015,5,Forest,22482
2016,1,Water,988
2016,3,Urban,1668
2016,4,Agriculture,43165
2016,5,Forest,22698
2017,1,Water,988
2017,3,Urban,1704
2017,4,Agriculture,42824
2017,5,Forest,22774
2018,1,Water,988
2018,3,Urban,1705
2018,4,Agriculture,42966
2018,5,Forest,22695
2019,1,Water,988
2019,3,Urban,1704
2019,4,Agriculture,43363
2019,5,Forest,22697
2020,1,Water,988
2020,3,Urban,1721
2020,4,Agriculture,42865
2020,5,Forest,22614
